Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
148 a 149;34;22;685 (Sat Nov 03 20:11:26 BRST 2007[null]);12;76;0.137;14;124;0.102;0.117;0.117;0.190;0.099;0.173;0.103;0.172
150 a 151;1;1;687 (Tue Nov 06 19:43:37 BRST 2007[null]);3;0;1.000;5;17;0.228;0.372;1.000;0.000;0.228;0.773;0.371;0.630
151 a 152;7;4;689 (Tue Nov 06 21:20:25 BRST 2007[null]);2;11;0.154;2;19;0.096;0.119;0.167;0.205;0.109;0.149;0.132;0.168
152 a 153;2;1;696 (Wed Nov 07 16:46:35 BRST 2007[null]);1;3;0.250;1;2;0.334;0.286;0.250;0.000;0.334;0.084;0.286;0.036
153 a 154;19;7;700 (Sat Nov 10 13:42:21 BRST 2007[null]);8;8;0.500;15;23;0.395;0.442;0.620;0.365;0.614;0.394;0.565;0.324
154 a 155;3;2;701 (Sat Nov 10 13:56:07 BRST 2007[null]);4;5;0.445;4;7;0.364;0.401;0.250;0.250;0.286;0.288;0.267;0.268
155 a 156;6;2;702 (Sat Nov 10 17:20:36 BRST 2007[null]);0;6;0.000;0;40;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
157 a 158;1;1;709 (Sun Nov 11 20:07:46 BRST 2007[null]);1;1;0.500;1;7;0.125;0.201;0.500;0.000;0.125;0.375;0.201;0.300
159 a 160;26;10;713 (Tue Nov 13 15:11:29 BRST 2007[null]);14;10;0.584;17;15;0.532;0.557;0.651;0.301;0.785;0.366;0.681;0.307
161 a 162;7;4;721 (Tue Nov 20 18:54:48 BRST 2007[null]);3;16;0.158;3;20;0.131;0.144;0.120;0.137;0.109;0.137;0.113;0.137
162 a 163;1;1;726 (Sat Nov 24 18:08:17 BRST 2007[null]);2;3;0.401;6;15;0.286;0.334;0.401;0.002;0.286;0.116;0.334;0.068
164 a 165;2;2;741 (Mon Dec 03 00:56:52 BRST 2007[null]);2;10;0.167;4;18;0.182;0.175;0.172;0.029;0.248;0.197;0.182;0.092
165 a 166;1;1;756 (Mon Dec 03 05:44:32 BRST 2007[null]);2;1;0.667;3;17;0.150;0.245;0.667;0.001;0.150;0.518;0.245;0.423
167 a 168;3;1;759 (Mon Dec 03 20:12:02 BRST 2007[null]);1;3;0.250;1;9;0.101;0.144;0.250;0.000;0.101;0.150;0.143;0.108
169 a 170;2;1;769 (Tue Dec 04 03:54:58 BRST 2007[null]);0;3;0.000;0;20;0.000;0;0.000;0.000;0.000;0.000;0.000;0.000
