Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
185 a 235;268;179;918 (Mon Jul 20 19:52:48 BRT 2009[null]);243;458;0.347;449;1608;0.219;0.269;0.384;0.328;0.237;0.279;0.258;0.247
190 a 240;275;185;937 (Fri Jul 31 16:40:20 BRT 2009[null]);250;474;0.346;452;1626;0.218;0.268;0.372;0.326;0.234;0.275;0.254;0.246
195 a 245;256;177;946 (Fri Aug 07 20:57:10 BRT 2009[null]);248;472;0.345;433;1530;0.221;0.270;0.361;0.313;0.239;0.269;0.257;0.239
200 a 250;286;195;961 (Tue Aug 18 20:09:16 BRT 2009[null]);263;480;0.354;471;1775;0.210;0.264;0.371;0.318;0.226;0.274;0.248;0.242
205 a 255;280;198;983 (Thu Aug 27 07:43:01 BRT 2009[null]);277;481;0.366;497;1813;0.216;0.272;0.380;0.326;0.230;0.278;0.253;0.246
210 a 260;273;190;997 (Tue Sep 01 20:21:44 BRT 2009[null]);265;459;0.367;477;1697;0.220;0.276;0.380;0.327;0.226;0.271;0.254;0.247
215 a 265;211;146;1007 (Sat Sep 05 11:14:12 BRT 2009[null]);219;330;0.399;339;1112;0.234;0.295;0.405;0.343;0.232;0.280;0.268;0.262
220 a 270;214;147;1014 (Wed Sep 09 16:49:44 BRT 2009[null]);219;340;0.392;331;1137;0.226;0.287;0.398;0.338;0.226;0.274;0.262;0.254
225 a 275;197;129;1032 (Tue Sep 15 13:34:05 BRT 2009[null]);167;302;0.357;250;967;0.206;0.262;0.355;0.344;0.209;0.274;0.234;0.251
230 a 280;206;139;1040 (Wed Sep 16 16:20:07 BRT 2009[null]);176;321;0.355;259;1043;0.199;0.256;0.342;0.337;0.198;0.263;0.223;0.244
235 a 285;194;137;1063 (Mon Oct 05 16:28:53 BRT 2009[null]);198;314;0.387;309;1161;0.211;0.274;0.362;0.332;0.207;0.278;0.230;0.243
240 a 290;187;131;1083 (Fri Oct 09 11:41:34 BRT 2009[null]);197;305;0.393;310;1129;0.216;0.279;0.367;0.327;0.212;0.281;0.235;0.244
245 a 295;186;129;1120 (Tue Nov 17 10:55:53 BRST 2009[null]);187;292;0.391;297;1109;0.212;0.275;0.361;0.331;0.208;0.282;0.229;0.245
250 a 300;157;108;1153 (Tue Dec 01 12:23:58 BRST 2009[null]);167;258;0.393;254;858;0.229;0.290;0.357;0.329;0.228;0.282;0.245;0.244
255 a 305;147;100;1191 (Sat Dec 12 15:32:27 BRST 2009[null]);144;252;0.364;217;783;0.217;0.272;0.331;0.320;0.215;0.277;0.229;0.238
260 a 310;145;100;1229 (Thu Dec 24 12:39:40 BRST 2009[null]);148;248;0.374;223;767;0.226;0.282;0.341;0.317;0.223;0.279;0.238;0.239
265 a 315;135;100;1251 (Fri Jan 08 22:58:26 BRST 2010[null]);144;254;0.362;219;773;0.221;0.275;0.327;0.309;0.218;0.275;0.230;0.234
270 a 320;135;99;1291 (Wed Feb 10 13:06:01 BRST 2010[null]);140;251;0.359;214;747;0.223;0.276;0.321;0.312;0.215;0.276;0.226;0.236
275 a 325;126;90;1301 (Thu Feb 11 10:19:16 BRST 2010[null]);123;240;0.339;189;678;0.218;0.266;0.308;0.307;0.196;0.257;0.215;0.230
280 a 330;110;77;1324 (Thu Jan 21 21:19:35 BRST 2010[null]);113;210;0.350;181;596;0.233;0.280;0.334;0.319;0.203;0.259;0.230;0.238
285 a 335;83;53;1340 (Fri Feb 26 21:22:21 BRT 2010[null]);45;161;0.219;73;369;0.166;0.189;0.224;0.277;0.127;0.203;0.149;0.204
290 a 340;100;67;1355 (Thu Mar 04 20:18:46 BRT 2010[null]);52;198;0.208;77;441;0.149;0.174;0.246;0.299;0.127;0.205;0.152;0.202
295 a 345;100;65;1370 (Mon Mar 22 13:26:04 BRT 2010[null]);51;198;0.205;74;422;0.150;0.174;0.245;0.301;0.126;0.204;0.151;0.202
300 a 350;93;64;1380 (Sat Mar 27 14:22:03 BRT 2010[null]);49;204;0.194;69;407;0.145;0.166;0.226;0.287;0.123;0.197;0.144;0.197
305 a 355;100;69;1392 (Tue Apr 20 19:44:58 BRT 2010[null]);58;216;0.212;84;445;0.159;0.182;0.244;0.286;0.138;0.199;0.159;0.199
310 a 360;111;75;1441 (Wed May 05 17:18:52 BRT 2010[null]);60;219;0.216;102;509;0.167;0.189;0.258;0.311;0.133;0.206;0.158;0.208
315 a 365;113;79;1457 (Fri Jun 18 21:40:47 BRT 2010[null]);68;210;0.245;112;493;0.186;0.212;0.279;0.319;0.147;0.221;0.175;0.224
